id;Title;Genre;Premiere;Runtime;IMDB_Score;Language
97;Despite Everything;Comedy;03.05.2019;78;5.4;Spanish
98;Dolly Kitty and Those Twinkling Stars;Drama;18.09.2020;120;5.4;Hindi
99;Freaks: You're One of Us;Supernatural drama;02.09.2020;92;5.4;German
100;Game Over, Man!;Action/Comedy;23.03.2018;101;5.4;English
101;Guilty;Thriller;06.03.2020;119;5.4;Hindi
102;In the Tall Grass;Horror;04.10.2019;101;5.4;English
103;Madame Claude;Drama;02.04.2021;112;5.4;French
104;Naked;Comedy;11.08.2017;96;5.4;English
105;Outside the Wire;Action/Science fiction;15.01.2021;114;5.4;English
106;The Princess Switch: Switched Again;Romantic comedy;19.11.2020;97;5.4;English
107;Under the Riccione Sun;Romantic teenage drama;01.07.2020;101;5.4;Italian
108;A Very Murray Christmas;Comedy / Musical;04.12.2015;56;5.5;English
109;Been So Long;Musical;26.10.2018;100;5.5;English
110;Dead Kids;Thriller;01.12.2019;94;5.5;Filipino
111;Get the Grift;Comedy;28.04.2021;94;5.5;Portuguese
112;Ghosts of Sugar Land;Documentary;16.10.2019;21;5.5;English
113;House Arrest;Comedy;15.11.2019;104;5.5;Hindi
114;Kevin Hart's Guide to Black History;Variety show;08.02.2019;63;5.5;English
115;Love Wedding Repeat;Romantic comedy;10.04.2020;100;5.5;English
116;Mute;Science fiction/Mystery;23.02.2018;126;5.5;English
117;Òlòt?ré;Crime drama;02.10.2020;106;5.5;English
118;Red Dot;Thriller;11.02.2021;86;5.5;Swedish
119;Ride or Die;Psychological thriller drama;15.04.2021;142;5.5;Japanese
120;Step Sisters;Comedy;19.01.2018;108;5.5;English
121;The Cloverfield Paradox;Science fiction;04.02.2018;102;5.5;English
122;The Knight Before Christmas;Romantic comedy;21.11.2019;92;5.5;English
123;The Legacy of a Whitetail Deer Hunter;Adventure/Comedy;06.07.2018;83;5.5;English
124;The Package;Black comedy;10.08.2018;94;5.5;English
125;Unicorn Store;Comedy;05.04.2019;92;5.5;English
126;Wine Country;Comedy;10.05.2019;103;5.5;English
127;Bomb Scared;Black comedy;12.10.2017;89;5.6;Spanish/Basque
128;Brahman Naman;Comedy;07.07.2016;95;5.6;English
129;Double Dad;Comedy-drama;15.01.2021;103;5.6;Portuguese
130;Falling Inn Love;Romantic comedy;29.08.2019;97;5.6;English
131;Hold the Dark;Thriller;28.09.2018;125;5.6;English
132;Love, Guaranteed;Romantic comedy;03.09.2020;91;5.6;English
133;One-Way to Tomorrow;Romance;19.06.2020;90;5.6;Turkish
134;Sarah Cooper: Everything's Fine;Variety show;27.10.2020;49;5.6;English
135;The Last Laugh;Comedy-drama;11.01.2019;98;5.6;English
136;The Last Paradiso;Romantic drama;05.02.2021;107;5.6;Italian
